Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_robot,"0,00028092","-1,8375E-06","0,024004",0,0,0,"0,62602","0,0011232","9,7755E-08","6,3465E-08","0,0011039","-4,2277E-09","0,0021064",0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/base_robot.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/base_robot.STL,,Cuerpo principal-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
eslabon_coxa_derecha_delantera,"0,035369","-0,0090269","0,001623",0,0,0,"0,076","1,7467E-05","2,4535E-06","-3,2608E-07","1,4748E-05","4,9519E-07","2,7861E-05",0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_coxa_derecha_delantera.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_coxa_derecha_delantera.STL,,Coxa derecha delantera-1,Origin_Motor1,Axis_Motor1,Motor1,revolute,"0,0556","-0,0678","0,017",0,0,0,base_robot,1,0,0,0,0,0,0,,,,,,,,
eslabon_femur_derecha_delantera,"-0,0024207","-0,037916","-0,062962",0,0,0,"0,1022","5,4793E-05","-1,9564E-07","-3,536E-06","4,8323E-05","-2,073E-06","1,3118E-05",0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_femur_derecha_delantera.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_femur_derecha_delantera.STL,,Femur derecho-1,Origin_Motor5,Axis_Motor5,Motor5,revolute,"0,0467","-0,0165","0,0002",0,0,0,eslabon_coxa_derecha_delantera,0,1,0,0,0,0,0,,,,,,,,
eslabon_tibia_derecha_delantera,"-0,00052387","-0,014256","-0,033591",0,0,0,"0,02333","1,0939E-05","3,5897E-09","8,1426E-07","1,094E-05","1,3416E-08","7,9923E-07",0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_tibia_derecha_delantera.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_tibia_derecha_delantera.STL,,Tibia derecha-2,Origin_Motor9,Axis_Motor9,Motor9,revolute,0,"-0,0118","-0,09",0,0,0,eslabon_femur_derecha_delantera,0,1,0,0,0,0,0,,,,,,,,
eslabon_coxa_derecha_trazera,"-0,032487","-0,0090269","0,0016241",0,0,0,"0,076","1,7467E-05","2,4094E-06","-3,4746E-07","1,4778E-05","5,0366E-07","2,7891E-05",0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_coxa_derecha_trazera.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_coxa_derecha_trazera.STL,,Coxa derecha trasera-1,Origin_Motor2,Axis_Motor2,Motor2,revolute,"-0,0556","-0,0678","0,017",0,0,0,base_robot,1,0,0,0,0,0,0,,,,,,,,
eslabon_femur_derecha_trazera,"-0,0024207","-0,037916","-0,062962",0,0,0,"0,1022","5,4793E-05","-1,9564E-07","-3,536E-06","4,8323E-05","-2,073E-06","1,3118E-05",0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_femur_derecha_trazera.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_femur_derecha_trazera.STL,,Femur derecho-3,Origin_Motor6,Axis_Motor6,Motor6,revolute,"-0,0267","-0,0165","0,0002",0,0,0,eslabon_coxa_derecha_trazera,0,1,0,0,0,0,0,,,,,,,,
eslabon_tibia_derecha_trazera,"-0,00052387","-0,014256","-0,033591",0,0,0,"0,02333","1,0939E-05","3,5897E-09","8,1426E-07","1,094E-05","1,3416E-08","7,9923E-07",0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_tibia_derecha_trazera.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_tibia_derecha_trazera.STL,,Tibia derecha-1,Origin_Motor10,Axis_Motor10,Motor10,revolute,0,"-0,0118","-0,09",0,0,0,eslabon_femur_derecha_trazera,0,1,0,0,0,0,0,,,,,,,,
eslabon_coxa_izquierda_delantera,"0,035374","0,0090266","0,001627",0,0,0,"0,075981","1,746E-05","-2,4484E-06","-3,1785E-07","1,4729E-05","-5,0055E-07","2,7844E-05",0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_coxa_izquierda_delantera.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_coxa_izquierda_delantera.STL,,Coxa izquierda delantera-1,Origin_Motor3,Axis_Motor3,Motor3,revolute,"0,0556","0,0678","0,017",0,0,0,base_robot,1,0,0,0,0,0,0,,,,,,,,
eslabon_femur_izquierda_delantera,"-0,0024214","0,037916","-0,062962",0,0,0,"0,1022","5,4793E-05","1,9572E-07","-3,5447E-06","4,8323E-05","2,073E-06","1,3118E-05",0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_femur_izquierda_delantera.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_femur_izquierda_delantera.STL,,Femur izquierdo-2,Origin_Motor7,Axis_Motor7,Motor7,revolute,"0,0467","0,0165","0,0002",0,0,0,eslabon_coxa_izquierda_delantera,0,1,0,0,0,0,0,,,,,,,,
eslabon_tibia_izquierda_delantera,"-0,00052045","0,014256","-0,033592",0,0,0,"0,02333","1,0943E-05","-3,601E-09","8,2159E-07","1,094E-05","-1,3419E-08","7,95E-07",0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_tibia_izquierda_delantera.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://urd_robot_cuadrupedo_v5/meshes/eslabon_tibia_izquierda_delantera.STL,,Tibia izquierda-3,Origin_Motor11,Axis_Motor11,Motor11,revolute,0,"0,0118","-0,09",0,0,0,eslabon_femur_izquierda_delantera,0,1,0,0,0,0,0,,,,,,,,
